pais,causa,metrica,sexo,edad,anio,valor,limite_superior,limite_inferior
Bolivia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1991,19851.19022827472,22427.12214441013,17511.173548096685
México,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1991,14243563.37193731,16000190.061902303,12691620.259705748
México,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1991,16361.405312106986,18379.220693418625,14578.707428333002
Uruguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1991,848769.9459178117,925539.0598710736,777768.6898142733
Uruguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1991,26740.89465692433,29159.54154587576,24503.96683083247
Perú,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1991,3452798.3030789183,3938768.328146295,3026628.8838624423
Perú,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1991,15587.312675293206,17781.17575869157,13663.41344722311
Chile,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1991,2563604.6733582355,2860291.3911910616,2276409.203762658
Chile,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1991,18900.130839656696,21087.448503609605,16782.787238155714
Colombia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1991,5154618.900473414,5808379.638150988,4577745.3588279765
Colombia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1991,15468.926439726412,17430.851648084074,13737.738440567407
Paraguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1991,619182.2601213405,703779.2805037835,542189.8714092294
Paraguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1991,14791.365812445689,16812.265886156485,12952.129355652372
Argentina,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1992,8039678.197247808,8809345.656547612,7316283.562820673
Argentina,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1992,23614.88744328904,25875.625992046997,21490.06572157833
Venezuela,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1992,3109854.562328217,3507851.256609877,2762867.93675852
Venezuela,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1992,15740.647986261298,17755.123499126803,13984.361890057417
Brasil,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1992,29106595.663633667,32706801.979905408,25942270.46694956
Brasil,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1992,18874.045671562857,21208.583836919664,16822.152727019267
Ecuador,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1992,1754406.2357405322,1959508.586266505,1576695.3857136536
Ecuador,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1992,16649.52863540871,18595.97489665928,14963.03104661257
México,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1992,14567194.241909163,16378985.196669858,13003050.447195413
México,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1992,16368.67456263792,18404.52415875906,14611.097892782016
Argentina,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1993,8069347.788517793,8832217.009514675,7339850.346629362
Argentina,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1993,23444.797570333834,25661.248630276983,21325.305350964245
Bolivia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1992,1326816.8532142316,1486587.5635838646,1169916.816921109
Bolivia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1992,19763.99525455522,22143.907413428347,17426.8440756079
Uruguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1992,850653.8033725428,926893.6857284084,778040.0547175636
Uruguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1992,26641.51096065024,29029.257483818303,24367.330826480786
Ecuador,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1993,1781854.2276103438,1988338.8495608503,1600706.41397337
Ecuador,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1993,16499.839485005963,18411.871942832,14822.424014225127
Venezuela,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1993,3193071.4066148987,3601467.121055464,2840860.586146287
Venezuela,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1993,15798.269779364471,17818.877793360716,14055.646188345756
Brasil,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1993,30176041.400771867,33982957.46631906,26948052.698634177
Brasil,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1993,19257.139365015628,21686.56051577282,17197.166438806333
Uruguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1993,861503.9933413191,940684.8504489728,789301.5466281762
Uruguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1993,26827.091125867813,29292.769852222576,24578.718939023325
Bolivia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1993,1358023.0131118053,1525431.88510942,1194222.1889251366
Bolivia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1993,19708.36383337163,22137.89185050229,17331.197755839756
Chile,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1992,2561940.9722187384,2870046.1711341264,2266461.017562119
Chile,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1992,18601.49417979019,20838.55472354824,16456.101793161655
Paraguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1992,642428.9460882008,729290.8127937018,564703.1266174132
Paraguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1992,14916.967221367677,16933.868275285746,13112.201872048416
